Start time : 02:44:26
24x24 15 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 15 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 16 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 16 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 17 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 17 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 18 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 18 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 19 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 19 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 20 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 20 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 21 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 21 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
24x24 22 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 22 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
24x24 23 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 23 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 24 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 24 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 25 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 25 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 1 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 1 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 2 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 2 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 3 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 3 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 4 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 4 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 5 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 5 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 6 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 6 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 7 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 7 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 8 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 8 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 9 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
32x32 9 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 10 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 10 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
32x32 11 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 11 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 12 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 12 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 13 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 13 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 14 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
32x32 14 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 15 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 15 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 16 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 16 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 17 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 17 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 18 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 18 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
32x32 19 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 19 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 20 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
32x32 20 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
32x32 21 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 21 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
