start 22/10/2021 17:49:40.35 
61 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
62 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
62 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
63 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
63 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
64 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
64 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
65 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
65 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
66 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
66 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
67 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
67 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
68 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
68 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
69 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
69 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
70 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
70 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
71 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
71 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
72 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
72 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
73 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
73 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
74 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
74 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
75 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
75 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
76 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
76 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
77 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
77 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
78 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
78 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
79 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
79 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
80 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
80 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
81 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
81 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
82 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
82 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
83 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
83 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
84 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
84 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
85 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
85 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
86 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
86 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
87 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
87 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
88 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
88 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
89 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
89 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
